onset	duration	text	rt	key_press	block_duration	timing_post_trial	trial_id	trial_type	trial_index	time_elapsed	internal_node_id	exp_id	subject_id	trigger_times	triggers	stimulus	possible_responses	stim_duration	exp_stage	SS_stimulus	SS_trial_type	SS_duration	load	trial_num	stop_trial_type	adaptive_trial_type	stim	yes_response_key	no_response_key	SSD_target	SSD_non_target	SSTarget	SSNonTarget	go_acc	SS_delay	stop_acc	adaptive_acc	new_trial_type
test	10880.0	n/a	-1	-1	10880	0.0	practice-no-stop-feedback	poldrack-single-stim	6	75703	0.0-6.0	beast_fmri_test	310	64823,/,65502,/,66182,/,66862,/,67543,/,68223,/,68903,/,69583,/,70263,/,70944,/,71623,/,72303,/,72982,/,73663,/,74342,/,75023,/,75702,/	t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t	"<div class = ""centerbox""><p class = ""center-block-text"">Your delay is 2 trials.</p><p class = center-block-text>Please wait for the scanner to start the block</p></div>"	77	10880.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	start_functional_block
11382	500.0	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	7	76205	0.0-7.0-0.0	beast_fmri_test	310	n/a	n/a	<div class = centerbox><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
10858.165012700003	2750.0	n/a	500	89	2750	527.8349873	stim	stop-signal	8	78959	0.0-7.0-1.0	beast_fmri_test	310	76383,/,77062,/,77743,/,78422,/,79103,/	t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/P.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redP.png'></img>	go	-1.0	2.0	0.0	go	temp-non-target	P	71,Green Button	89,Yellow Button	500.0	500.0	0.0	0.0	0.0	n/a	n/a	n/a	go_stim
13608.165012700003	527.8349873	n/a	500	89	2750	527.8349873	stim	stop-signal	8	78959	0.0-7.0-1.0	beast_fmri_test	310	76383,/,77062,/,77743,/,78422,/,79103,/	t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/P.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redP.png'></img>	go	-1.0	2.0	0.0	go	temp-non-target	P	71,Green Button	89,Yellow Button	500.0	500.0	0.0	0.0	0.0	n/a	n/a	n/a	ITI
15168	500.0	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	9	79991	0.0-7.1-0.1	beast_fmri_test	310	79783,/	t	<div class = centerbox><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
14453.509703599993	2750.0	n/a	399	89	2750	716.4902964	stim	stop-signal	10	82743	0.0-7.1-1.1	beast_fmri_test	310	80462,/,81143,/,81823,/,82503,/,83182,/	t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/B.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redB.png'></img>	go	-1.0	2.0	1.0	go	temp-non-target	B	71,Green Button	89,Yellow Button	500.0	500.0	0.0	0.0	0.0	n/a	n/a	n/a	go_stim
17203.509703599993	716.4902964	n/a	399	89	2750	716.4902964	stim	stop-signal	10	82743	0.0-7.1-1.1	beast_fmri_test	310	80462,/,81143,/,81823,/,82503,/,83182,/	t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/B.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redB.png'></img>	go	-1.0	2.0	1.0	go	temp-non-target	B	71,Green Button	89,Yellow Button	500.0	500.0	0.0	0.0	0.0	n/a	n/a	n/a	ITI
19139	500.0	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	11	83962	0.0-7.2-0.2	beast_fmri_test	310	83862,/	t	<div class = centerbox><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
17873.429361999995	500.0	n/a	371	71	2750	1266.570638	stim	stop-signal	12	86713	0.0-7.2-1.2	beast_fmri_test	310	84543,/,85222,/,85902,/,86583,/,87262,/,87942,/	t,t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/P.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redP.png'></img>	stop	2250.0	2.0	2.0	stop	target	P	71,Green Button	89,Yellow Button	500.0	500.0	2250.0	0.0	0.0	500.0	0.0	1.0	go_stim
20123.429361999995	2250.0	n/a	371	71	2750	1266.570638	stim	stop-signal	12	86713	0.0-7.2-1.2	beast_fmri_test	310	84543,/,85222,/,85902,/,86583,/,87262,/,87942,/	t,t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/P.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redP.png'></img>	stop	2250.0	2.0	2.0	stop	target	P	71,Green Button	89,Yellow Button	500.0	500.0	2250.0	0.0	0.0	500.0	0.0	1.0	stop_stim
