onset	duration	text	rt	key_press	block_duration	timing_post_trial	trial_id	trial_type	trial_index	time_elapsed	internal_node_id	exp_id	subject_id	trigger_times	triggers	stimulus	possible_responses	stim_duration	exp_stage	SS_stimulus	SS_trial_type	SS_duration	load	trial_num	stop_trial_type	adaptive_trial_type	stim	yes_response_key	no_response_key	SSD_target	SSD_non_target	SSTarget	SSNonTarget	go_acc	stop_acc	SS_delay	adaptive_acc	Unnamed: 36	new_trial_type
test	10880	n/a	-1	-1	10880	0.0	practice-no-stop-feedback	poldrack-single-stim	198	531665	0.0-12.0	beast_fmri_test	119	520783,/	t	"<div class = ""centerbox""><p class = ""center-block-text"">Your delay is 3 trials.</p><p class = center-block-text>Please wait for the scanner to start the block</p></div>"	77	10880.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	start_functional_block
-31246447834.0	500	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	199	532166	0.0-13.0-0.0	beast_fmri_test	119	n/a	n/a	<div class = centerbox><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
-31246448036.989536	temp_go_duration	n/a	1710	71	2750	204.989538048	stim	stop-signal	200	534918	0.0-13.0-1.0	beast_fmri_test	119	n/a	n/a	<img class = center src='/static/experiments/beast_fmri_test/images/V.png'></img>	89,71	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redV.png'></img>	stop	-1.0	3.0	0.0	stop	temp-non-target	V	89,Yellow Button	71,Green Button	700.0	900.0	2050.0	1850.0	0.0	0.0	n/a	n/a	n/a	go_stim
temp-non-target	temp_stop_duration	n/a	1710	71	2750	204.989538048	stim	stop-signal	200	534918	0.0-13.0-1.0	beast_fmri_test	119	n/a	n/a	<img class = center src='/static/experiments/beast_fmri_test/images/V.png'></img>	89,71	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redV.png'></img>	stop	-1.0	3.0	0.0	stop	temp-non-target	V	89,Yellow Button	71,Green Button	700.0	900.0	2050.0	1850.0	0.0	0.0	n/a	n/a	n/a	stop_stim
-31246445286.989536	204.989538047612	n/a	1710	71	2750	204.989538048	stim	stop-signal	200	534918	0.0-13.0-1.0	beast_fmri_test	119	n/a	n/a	<img class = center src='/static/experiments/beast_fmri_test/images/V.png'></img>	89,71	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redV.png'></img>	stop	-1.0	3.0	0.0	stop	temp-non-target	V	89,Yellow Button	71,Green Button	700.0	900.0	2050.0	1850.0	0.0	0.0	n/a	n/a	n/a	ITI
-31246444367.0	500	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	201	535633	0.0-13.1-0.1	beast_fmri_test	119	n/a	n/a	<div class = centerbox><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
-31246444649.857559	temp_go_duration	n/a	1036	71	2750	284.85755777	stim	stop-signal	202	538385	0.0-13.1-1.1	beast_fmri_test	119	n/a	n/a	<img class = center src='/static/experiments/beast_fmri_test/images/P.png'></img>	89,71	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redP.png'></img>	stop	-1.0	3.0	1.0	stop	temp-non-target	P	89,Yellow Button	71,Green Button	700.0	900.0	2050.0	1850.0	0.0	0.0	n/a	n/a	n/a	go_stim
temp-non-target	temp_stop_duration	n/a	1036	71	2750	284.85755777	stim	stop-signal	202	538385	0.0-13.1-1.1	beast_fmri_test	119	n/a	n/a	<img class = center src='/static/experiments/beast_fmri_test/images/P.png'></img>	89,71	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redP.png'></img>	stop	-1.0	3.0	1.0	stop	temp-non-target	P	89,Yellow Button	71,Green Button	700.0	900.0	2050.0	1850.0	0.0	0.0	n/a	n/a	n/a	stop_stim
-31246441899.857559	284.85755776983899	n/a	1036	71	2750	284.85755777	stim	stop-signal	202	538385	0.0-13.1-1.1	beast_fmri_test	119	n/a	n/a	<img class = center src='/static/experiments/beast_fmri_test/images/P.png'></img>	89,71	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redP.png'></img>	stop	-1.0	3.0	1.0	stop	temp-non-target	P	89,Yellow Button	71,Green Button	700.0	900.0	2050.0	1850.0	0.0	0.0	n/a	n/a	n/a	ITI
-31246440822.0	500	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	203	539178	0.0-13.2-0.2	beast_fmri_test	119	n/a	n/a	<div class = centerbox><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
