onset	duration	text	rt	key_press	block_duration	timing_post_trial	trial_id	trial_type	trial_index	time_elapsed	internal_node_id	exp_id	subject_id	trigger_times	triggers	stimulus	possible_responses	stim_duration	exp_stage	SS_stimulus	SS_trial_type	SS_duration	load	trial_num	stop_trial_type	adaptive_trial_type	stim	yes_response_key	no_response_key	SSD_target	SSD_non_target	SSTarget	SSNonTarget	go_acc	stop_acc	SS_delay	adaptive_acc	Unnamed: 36	new_trial_type
test	10880.0	n/a	-1	-1	10880	0.0	practice-no-stop-feedback	poldrack-single-stim	590	1654407	0.0-24.0	beast_fmri_test	119	1643526,/,1646925,/,1651685,/	t,t,t	"<div class = ""centerbox""><p class = ""center-block-text"">Your delay is 2 trials.</p><p class = center-block-text>Please wait for the scanner to start the block</p></div>"	77	10880.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	start_functional_block
11383	500.0	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	591	1654909	0.0-25.0-0.0	beast_fmri_test	119	n/a	n/a	<div class = centerbox><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
10627.845708713401	2750.0	n/a	1708	71	2750	757.154291287	stim	stop-signal	592	1657661	0.0-25.0-1.0	beast_fmri_test	119	n/a	n/a	<img class = center src='/static/experiments/beast_fmri_test/images/P.png'></img>	89,71	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redP.png'></img>	go	-1.0	2.0	0.0	go	temp-non-target	P	89,Yellow Button	71,Green Button	900.0	700.0	1900.0	2000.0	0.0	n/a	n/a	n/a	n/a	go_stim
13377.845708713401	757.154291287	n/a	1708	71	2750	757.154291287	stim	stop-signal	592	1657661	0.0-25.0-1.0	beast_fmri_test	119	n/a	n/a	<img class = center src='/static/experiments/beast_fmri_test/images/P.png'></img>	89,71	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redP.png'></img>	go	-1.0	2.0	0.0	go	temp-non-target	P	89,Yellow Button	71,Green Button	900.0	700.0	1900.0	2000.0	0.0	n/a	n/a	n/a	n/a	ITI
15414	500.0	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	593	1658940	0.0-25.1-0.1	beast_fmri_test	119	n/a	n/a	<div class = centerbox><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
15248.277757829987	2750.0	n/a	1494	71	2750	167.72224217	stim	stop-signal	594	1661692	0.0-25.1-1.1	beast_fmri_test	119	n/a	n/a	<img class = center src='/static/experiments/beast_fmri_test/images/T.png'></img>	89,71	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redT.png'></img>	go	-1.0	2.0	1.0	go	temp-non-target	T	89,Yellow Button	71,Green Button	900.0	700.0	1900.0	2000.0	0.0	n/a	n/a	n/a	n/a	go_stim
17998.277757829987	167.72224217	n/a	1494	71	2750	167.72224217	stim	stop-signal	594	1661692	0.0-25.1-1.1	beast_fmri_test	119	n/a	n/a	<img class = center src='/static/experiments/beast_fmri_test/images/T.png'></img>	89,71	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redT.png'></img>	go	-1.0	2.0	1.0	go	temp-non-target	T	89,Yellow Button	71,Green Button	900.0	700.0	1900.0	2000.0	0.0	n/a	n/a	n/a	n/a	ITI
18856	500.0	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	595	1662382	0.0-25.2-0.2	beast_fmri_test	119	n/a	n/a	<div class = centerbox><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
15485.20634778426	2750.0	n/a	978	71	2750	3372.79365222	stim	stop-signal	596	1665134	0.0-25.2-1.2	beast_fmri_test	119	n/a	n/a	<img class = center src='/static/experiments/beast_fmri_test/images/T.png'></img>	89,71	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redT.png'></img>	go	2050.0	2.0	2.0	go	non-target	T	89,Yellow Button	71,Green Button	900.0	700.0	1900.0	2050.0	1.0	n/a	700.0	1.0	n/a	go_stim
18235.20634778426	3372.79365222	n/a	978	71	2750	3372.79365222	stim	stop-signal	596	1665134	0.0-25.2-1.2	beast_fmri_test	119	n/a	n/a	<img class = center src='/static/experiments/beast_fmri_test/images/T.png'></img>	89,71	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redT.png'></img>	go	2050.0	2.0	2.0	go	non-target	T	89,Yellow Button	71,Green Button	900.0	700.0	1900.0	2050.0	1.0	n/a	700.0	1.0	n/a	ITI
