onset	duration	text	rt	key_press	block_duration	timing_post_trial	trial_id	trial_type	trial_index	time_elapsed	internal_node_id	exp_id	subject_id	trigger_times	triggers	stimulus	possible_responses	stim_duration	exp_stage	SS_stimulus	SS_trial_type	SS_duration	load	trial_num	stop_trial_type	adaptive_trial_type	stim	yes_response_key	no_response_key	SSD_target	SSD_non_target	SSTarget	SSNonTarget	go_acc	SS_delay	adaptive_acc	stop_acc	new_trial_type
test	8762.0	"<div class = ""centerbox""><p class = ""center-block-text"">Your delay is 2 trials.</p><p class = center-block-text>Please wait for the scanner to start the block</p></div>"	8762	84	8762	1000.0	start_test_text	poldrack-text	3	21258	0.0-3.0	beast_fmri_test	303	0.3543	t	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	start_functional_block
1506.0	500.0	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	4	22764	0.0-4.0-0.0	beast_fmri_test	303	n/a	n/a	<div class = centerbox><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
-1280.0599432510135	2750.0	n/a	901	89	2750	2792.05994325	stim	stop-signal	5	25520	0.0-4.0-1.0	beast_fmri_test	303	0.4449166666666667	t	<img class = center src='/static/experiments/beast_fmri_test/images/T.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redT.png'></img>	go	-1.0	2.0	0.0	go	temp-non-target	T	71,Green Button	89,Yellow Button	500.0	500.0	0.0	0.0	0.0	n/a	n/a	n/a	go_stim
1469.9400567489865	2792.05994325	n/a	901	89	2750	2792.05994325	stim	stop-signal	5	25520	0.0-4.0-1.0	beast_fmri_test	303	0.4449166666666667	t	<img class = center src='/static/experiments/beast_fmri_test/images/T.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redT.png'></img>	go	-1.0	2.0	0.0	go	temp-non-target	T	71,Green Button	89,Yellow Button	500.0	500.0	0.0	0.0	0.0	n/a	n/a	n/a	ITI
7563.0	500.0	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	6	28821	0.0-4.1-0.1	beast_fmri_test	303	n/a	n/a	<div class = centerbox><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
4691.55105675491	2750.0	n/a	814	89	2750	2874.44894325	stim	stop-signal	7	31574	0.0-4.1-1.1	beast_fmri_test	303	n/a	n/a	<img class = center src='/static/experiments/beast_fmri_test/images/D.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redD.png'></img>	go	-1.0	2.0	1.0	go	temp-non-target	D	71,Green Button	89,Yellow Button	500.0	500.0	0.0	0.0	0.0	n/a	n/a	n/a	go_stim
7441.55105675491	2874.44894325	n/a	814	89	2750	2874.44894325	stim	stop-signal	7	31574	0.0-4.1-1.1	beast_fmri_test	303	n/a	n/a	<img class = center src='/static/experiments/beast_fmri_test/images/D.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redD.png'></img>	go	-1.0	2.0	1.0	go	temp-non-target	D	71,Green Button	89,Yellow Button	500.0	500.0	0.0	0.0	0.0	n/a	n/a	n/a	ITI
13695.0	500.0	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	8	34953	0.0-4.2-0.2	beast_fmri_test	303	n/a	n/a	<div class = centerbox><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
13392.862508609338	2750.0	n/a	1119	71	2750	304.137491391	stim	stop-signal	9	37705	0.0-4.2-1.2	beast_fmri_test	303	n/a	n/a	<img class = center src='/static/experiments/beast_fmri_test/images/T.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redT.png'></img>	go	2250.0	2.0	2.0	go	target	T	71,Green Button	89,Yellow Button	500.0	500.0	2250.0	0.0	1.0	500.0	1.0	n/a	go_stim
16142.862508609338	304.137491391	n/a	1119	71	2750	304.137491391	stim	stop-signal	9	37705	0.0-4.2-1.2	beast_fmri_test	303	n/a	n/a	<img class = center src='/static/experiments/beast_fmri_test/images/T.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redT.png'></img>	go	2250.0	2.0	2.0	go	target	T	71,Green Button	89,Yellow Button	500.0	500.0	2250.0	0.0	1.0	500.0	1.0	n/a	ITI
17259.0	500.0	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	10	38517	0.0-4.3-0.3	beast_fmri_test	303	n/a	n/a	<div class = centerbox><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
15945.886446402314	2750.0	n/a	1117	89	2750	1316.1135536	stim	stop-signal	11	41270	0.0-4.3-1.3	beast_fmri_test	303	n/a	n/a	<img class = center src='/static/experiments/beast_fmri_test/images/B.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redB.png'></img>	go	2250.0	2.0	3.0	go	non-target	B	71,Green Button	89,Yellow Button	500.0	500.0	2250.0	2250.0	1.0	500.0	1.0	n/a	go_stim
18695.886446402314	1316.1135536	n/a	1117	89	2750	1316.1135536	stim	stop-signal	11	41270	0.0-4.3-1.3	beast_fmri_test	303	n/a	n/a	<img class = center src='/static/experiments/beast_fmri_test/images/B.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redB.png'></img>	go	2250.0	2.0	3.0	go	non-target	B	71,Green Button	89,Yellow Button	500.0	500.0	2250.0	2250.0	1.0	500.0	1.0	n/a	ITI
