onset	duration	"“text"""	rt	key_press	block_duration	timing_post_trial	trial_id	trial_type	trial_index	time_elapsed	internal_node_id	exp_id	subject_id	trigger_times	triggers	stimulus	possible_responses	stim_duration	exp_stage	SS_stimulus	SS_trial_type	SS_duration	load	trial_num	stop_trial_type	adaptive_trial_type	stim	yes_response_key	no_response_key	SSD_target	SSD_non_target	SSTarget	SSNonTarget	go_acc	SS_delay	adaptive_acc	stop_acc	new_trial_type
test	10880	n/a	-1	-1	10880	0.0	practice-no-stop-feedback	poldrack-single-stim	384	1078203	0.0-18.0	beast_fmri_test	276	1067325,/,1068005,/,1068686,/,1069366,/,1070046,/,1070726,/,1071406,/,1072086,/,1072766,/,1073445,/,1074122,/,1074802,/,1075481,/,1076160,/,1076840,/,1077521,/,1078202,/	t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t	"<div class = ""centerbox""><p class = ""block-text"">Your delay is 1 trials.</p><p class = block-text>Please wait for the scanner to start the block</p></div>"	77	10880.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	start_functional_block
11380	500	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	385	1078705	0.0-19.0-0.0	beast_fmri_test	276	n/a	n/a	<div class = centerbox2><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
10716.291795104044	2750	n/a	706	89	2750	666.708204896	stim	stop-signal	386	1081458	0.0-19.0-1.0	beast_fmri_test	276	1078882,/,1079561,/,1080240,/,1080922,/,1081601,/	t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/B.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redB.png'></img>	go	-1.0	1.0	0.0	go	temp-non-target	B	71,Index Finger	89,Middle Finger	200.0	0.0	2500.0	2750.0	0.0	n/a	n/a	n/a	go_stim
13466.291795104044	666.70820489598839	n/a	706	89	2750	666.708204896	stim	stop-signal	386	1081458	0.0-19.0-1.0	beast_fmri_test	276	1078882,/,1079561,/,1080240,/,1080922,/,1081601,/	t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/B.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redB.png'></img>	go	-1.0	1.0	0.0	go	temp-non-target	B	71,Index Finger	89,Middle Finger	200.0	0.0	2500.0	2750.0	0.0	n/a	n/a	n/a	ITI
15348	500	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	387	1082673	0.0-19.1-0.1	beast_fmri_test	276	1082280,/	t	<div class = centerbox2><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
15276.588773997733	2750	n/a	535	89	2750	70.4112260023	stim	stop-signal	388	1085422	0.0-19.1-1.1	beast_fmri_test	276	1082962,/,1083639,/,1084318,/,1084997,/	t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/V.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redV.png'></img>	go	2750.0	1.0	1.0	go	non-target	V	71,Index Finger	89,Middle Finger	200.0	0.0	2500.0	2750.0	1.0	0.0	1.0	n/a	go_stim
18026.588773997733	70.411226002251823	n/a	535	89	2750	70.4112260023	stim	stop-signal	388	1085422	0.0-19.1-1.1	beast_fmri_test	276	1082962,/,1083639,/,1084318,/,1084997,/	t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/V.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redV.png'></img>	go	2750.0	1.0	1.0	go	non-target	V	71,Index Finger	89,Middle Finger	200.0	0.0	2500.0	2750.0	1.0	0.0	1.0	n/a	ITI
18711	500	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	389	1086036	0.0-19.2-0.2	beast_fmri_test	276	1085676,/	t	<div class = centerbox2><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
17962.763160847826	2750	n/a	497	89	2750	751.236839152	stim	stop-signal	390	1088789	0.0-19.2-1.2	beast_fmri_test	276	1086356,/,1087035,/,1087717,/,1088397,/,1089077,/	t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/B.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redB.png'></img>	go	2750.0	1.0	2.0	go	non-target	B	71,Index Finger	89,Middle Finger	200.0	0.0	2500.0	2750.0	1.0	0.0	1.0	n/a	go_stim
20712.763160847826	751.23683915224319	n/a	497	89	2750	751.236839152	stim	stop-signal	390	1088789	0.0-19.2-1.2	beast_fmri_test	276	1086356,/,1087035,/,1087717,/,1088397,/,1089077,/	t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/B.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redB.png'></img>	go	2750.0	1.0	2.0	go	non-target	B	71,Index Finger	89,Middle Finger	200.0	0.0	2500.0	2750.0	1.0	0.0	1.0	n/a	ITI
